name,country,city,employees,bucket,source,specialty,build_signal,source_url,oncology_tags,score,score_breakdown,exclusion_reason,tier
Janssen-Cilag (Johnson & Johnson Innovative Medicine),DEU,"Schaffhausen (CH), Neuss (DE)","~3,800 (DACH)","originator_pharma,vaccines",research,"Oncology (Darzalex, Imbruvica), immunology, neuroscience",CHF 250M Schaffhausen biologics + Neuss expansion 2024–2026,https://www.jnj.com/innovative-medicine/manufacturing,oncology_general,7,industry=2/3 capability=2/2 size=1/2 trigger=2/2,,Tier 1
Galenica,CHE,Bern,3163,"originator_pharma,sterile_generics",crustdata+research+research,Pharmaceutical Manufacturing / Galenica is the leading fully-integrated healthcare provider in Switzerland. Wit,Verfora + Padma + Glycine; capex on logistics,http://www.galenica.com,,7,industry=3/3 capability=1/2 size=1/2 trigger=2/2,,Tier 1
PSI CRO,CHE,Zug,2811,originator_pharma,crustdata,Pharmaceutical Manufacturing / PSI is a leading full-service global Contract Research Organization whose key st,12.26038338658147% growth,http://www.psi-cro.com,"oncology_general,radiopharma",7,industry=2/3 capability=2/2 size=2/2 trigger=1/2,industrial_false_positive,Excluded
Vetter Pharma,DEU,Ravensburg,2436,"cdmo_classic,originator_pharma,vaccines",crustdata+research,Pharmaceutical Manufacturing / We turn active ingredients into medicine. As one of the leading pharmaceutical s,8.170515097690942% growth,https://www.vetter-pharma.com,oncology_general,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,Tier 1
Pfizer Manufacturing Deutschland GmbH,DEU,"Freiburg im Breisgau, Illertissen, Karlsruhe","~2,400 (DE mfg)","originator_pharma,sterile_generics,vaccines",research,Sterile injectables incl. Comirnaty fill-finish (BioNTech partnership 2021–),USD 120M Freiburg sterile-fill modernization 2024–26 (post-Hospira integration),https://www.pfizer.de/freiburg-investment,oncology_general,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
Berlin-Chemie AG (Menarini Group),DEU,Berlin (Adlershof),"1,900",sterile_generics,research,,EUR 130M Adlershof sterile-fill new plant on-stream 2025; lyo capacity +60%,berlin-chemie.de,,7,industry=3/3 capability=0/2 size=2/2 trigger=2/2,,Tier 1
Vifor Pharma / CSL Vifor,CHE,"Villars-sur-Glâne, St. Gallen, Ittigen","1,800",sterile_generics,research,,CHF 150M St. Gallen sterile expansion 2024–26 post-CSL acquisition,cslvifor.com,,7,industry=3/3 capability=0/2 size=2/2 trigger=2/2,,Tier 1
Octapharma Springe,DEU,Springe (Hannover),"~1,500",plasma_fractionation,research,"Base fractionation, purification, pharmaceutical production for octagam/Albunorm/Nuwiq",Continuous capex (state-of-the-art base fractionation line upgrades); part of Octapharma EUR ~200 M+/yr group plant capex,https://www.octapharma.de/karriere/produktionsstandort,,7,industry=3/3 capability=0/2 size=2/2 trigger=2/2,,Tier 1
Swixx BioPharma,CHE,Baar,1473,originator_pharma,crustdata,"Pharmaceutical Manufacturing / Swixx BioPharma is designed to fully replace biopharma, OTC and medical device m",16.442687747035574% growth,http://www.swixxbiopharma.com,,7,industry=2/3 capability=2/2 size=2/2 trigger=1/2,industrial_false_positive,Excluded
PolyPeptide Group,CHE,Baar,1408,"cdmo_classic,originator_pharma,specialty_orphan",crustdata,Pharmaceutical Manufacturing / PolyPeptide Group AG with its consolidated subsidiaries (“PolyPeptide”) is a foc,4.684014869888476% growth,http://www.polypeptide.com,,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,Tier 1
ZETA,AUT,Lieboch,1356,"bioprocess_vendors,cdmo_classic,originator_pharma",crustdata+research,Pharmaceutical Manufacturing / The ZETA Group is an end-to-end solution provider operating globally and special,9.26672038678485% growth,https://www.zeta.com/,,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,Tier 1
Salutas Pharma GmbH (Sandoz),DEU,Barleben (Magdeburg),"1,250",sterile_generics,research,,EUR 70M Barleben aseptic line 2025,sandoz.com,,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
Stallergenes Greer,CHE,Baar,1147,"originator_pharma,specialty_orphan",crustdata+research,Pharmaceutical Manufacturing / Stallergenes Greer is a global biopharmaceutical company specialising in allergy,4.557885141294439% growth,https://www.stallergenesgreer.com,,7,industry=2/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Roehm,DEU,Darmstadt,967,oncology_hpapi,crustdata,chemical manufacturing / Röhm is one of the world's leading manufacturers in the field of methacrylate ch,,https://www.roehm.com/,,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,industrial_false_positive,Excluded
EVER Pharma cell arm,AUT,Unterach,~900 (group),atmp_cell_gene,research,Cell-therapy fill/finish CDMO,2024 cell therapy fill/finish line,https://everpharma.com,,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
University of Heidelberg,DEU,Heidelberg,858,oncology_hpapi,crustdata,research services / Heidelberg University is one of the top-ranking locations in the world of intern,,http://www.uni-heidelberg.de,,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,industrial_false_positive,Excluded
medac group,DEU,Wedel,830,"originator_pharma,sterile_generics",crustdata+research,"Pharmaceutical Manufacturing / At medac Group, we believe that health is humanity’s most valuable resource. Sin",5.597964376590331% growth,http://www.medac-group.com,oncology_general,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,Tier 1
Axplora,DEU,Raubling,809,"cdmo_classic,originator_pharma",crustdata,"Pharmaceutical Manufacturing / We are Axplora, a company bringing together Farmabios, Novasep and PharmaZell. A",5.751633986928105% growth,http://www.axplora.com,,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,Tier 1
G.L. Pharma GmbH,AUT,Lannach,750,sterile_generics,research,,EUR 60M Lannach sterile-fill + lyo expansion 2024–26,gl-pharma.at,,7,industry=3/3 capability=0/2 size=2/2 trigger=2/2,,Tier 1
Idorsia Pharmaceuticals Ltd,CHE,Allschwil,718,"late_stage_biotech,originator_pharma,specialty_orphan",crustdata+research+research+research,"Pharmaceutical Manufacturing / The purpose of Idorsia is to discover, develop, and commercialize innovative med",FDA approved Mar 2024; US commercial launch Oct 2024 — first commercial product,http://www.idorsia.com,,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,Tier 1
Teva ratiopharm Werk Weiler,DEU,Weiler im Allgäu,700,sterile_generics,research,,EUR 60M PFS line expansion 2025,teva.com,,7,industry=3/3 capability=0/2 size=2/2 trigger=2/2,,Tier 1
CureVac,DEU,Tübingen,646,"atmp_cell_gene,late_stage_biotech,vaccines",crustdata+research+research,Biotechnology Research / CureVac (Nasdaq: CVAC) is a pioneering multinational biotech company founded in ,"GSK acquisition completed 2025; Tübingen mRNA line retained, LNP R&D continues",http://curevac.com,oncology_general,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
ITM Isotope Technologies Munich SE,DEU,Garching,637,"late_stage_biotech,oncology_hpapi,originator_pharma",crustdata+research,"Pharmaceutical Manufacturing / PASSION FOR PRECISION.ITM, a leading radiopharmaceutical biotech company, is ded","New 5,000 m² Neufahrn GMP plant operational (9 mfg lines); Actineer JV for Ac-225",http://www.itm-radiopharma.com,"oncology_general,radiopharma",7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
Nuvisan,DEU,Neu Ulm,634,cdmo_classic,crustdata,"Biotechnology Research / Your partner of choice in bringing therapeutics to life, Nuvisan is the unique C",-1.5527950310559007% growth,http://www.nuvisan.com,,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,Tier 1
Immatics,DEU,Tübingen,617,"atmp_cell_gene,late_stage_biotech",crustdata+research+research+research,Biotechnology Research / Immatics is committed to making a meaningful impact on the lives of patients wit,Ph3 SUPRAME initiated Dec 2024; interim/final PFS 2026; planned BLA H1 2027,http://www.immatics.com,"oncology_celltherapy,oncology_general",7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
Novartis CAR-T Stein (Kymriah),CHE,Stein (AG),~600,atmp_cell_gene,research,Autologous CAR-T commercial (Kymriah),2024 capacity ramp post-EMA Europe-only manufacturing approval,https://www.novartis.com,oncology_celltherapy,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2 [manual override],,Tier 1
DFE Pharma,DEU,Goch,574,"originator_pharma,sterile_generics",crustdata,Pharmaceutical Manufacturing / DFE Pharma is a global leader in pharmaceutical excipient solutions. We  develop,10.81081081081081% growth,http://www.dfepharma.com,,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,Tier 1
ratiopharm,DEU,Ulm,574,"oncology_hpapi,originator_pharma,sterile_generics",crustdata+research,Pharmaceutical Manufacturing / About ratiopharmratiopharm became known as the first generics company in Europe.,EUR 50M Ulm packaging + sterile QC upgrade 2024,https://www.ratiopharm.de,,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
EVER Pharma,AUT,Unterach am Attersee,559,"specialty_orphan,sterile_generics",crustdata+research,Pharmaceutical Manufacturing / EVER Pharma is a fully integrated specialty pharmaceuticals company focused on t,3.5185185185185186% growth,http://www.everpharma.com,oncology_general,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,Tier 1
SOLEVO Group,CHE,Le Grand-Saconnex,559,oncology_hpapi,crustdata,chemical manufacturing / SOLEVO is a leading specialty chemicals distribution platform and partner to far,,http://www.solevogroup.com,,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,industrial_false_positive,Excluded
Gebro Pharma GmbH,AUT,Fieberbrunn,550,sterile_generics,research,"Sterile ampoules, hospital products",EUR 30M Fieberbrunn aseptic upgrade 2025,gebro.com,,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
Nordmark Pharma,DEU,Uetersen,~550,originator_pharma,research,"Pancreatin, collagenase (biopharma)",Biotech expansion ongoing; novel microbial lipase pipeline,https://www.nordmark-pharma.de/en/,,7,industry=2/3 capability=2/2 size=2/2 trigger=1/2,,Tier 1
Pierre Fabre Pharma GmbH,DEU,Freiburg,550,sterile_generics,research,,EUR 30M Freiburg cytotoxic line 2024,pierre-fabre.com,cytostatika_hpapi,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
SOPHiA GENETICS,CHE,Tartegnin,522,late_stage_biotech,crustdata,Biotechnology Research / SOPHiA GENETICS was founded in 2011 by biologists who had a vision to create a t,5.668016194331984% growth,http://www.sophiagenetics.com/,oncology_general,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,industrial_false_positive,Excluded
Cheplapharm Greifswald,DEU,Greifswald,~500,sterile_generics,research,"Legacy sterile injectables (oncology, niche hospital)",,https://www.cheplapharm.com,oncology_general,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
Cilag AG (J&J) Schaffhausen,CHE,Schaffhausen,~500,sterile_generics,research,Sterile biologics & injectables (cap at scope edge),,https://www.cilag.ch,,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
Fresenius Kabi Friedberg site,DEU,Friedberg (Hessen),~500,sterile_generics,research,"Oncology sterile injectables, hospital admixtures",,https://www.fresenius-kabi.com,oncology_general,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
Vetter Pharma Ravensburg (small site),DEU,Ravensburg,~500 (site),sterile_generics,research,"Aseptic prefilled syringes, cartridges (CDMO)",,https://www.vetter-pharma.com,,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
Debiopharm,CHE,Lausanne,473,oncology_hpapi,crustdata,pharmaceutical manufacturing / Bridging the gap between disruptive discovery products and real-world patient re,,http://www.debiopharm.com,"adc,cytostatika_hpapi,oncology_general,radiopharma",7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
CENTOGENE,DEU,Rostock,458,"late_stage_biotech,specialty_orphan",crustdata,Biotechnology Research / CENTOGENE is a leading company in the field of genetic diagnostics and precision,13.086419753086421% growth,https://www.centogene.com/,,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,industrial_false_positive,Excluded
Haupt Pharma Wolfratshausen (Aenova),DEU,Wolfratshausen,~400,sterile_generics,research,"Aseptic small-volume parenterals, cytotoxics",,https://www.aenova-group.com,,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
Octapharma HQ Lachen,CHE,Lachen SZ,"~400 (HQ; 12,000 group)",plasma_fractionation,research,"Group HQ, R&D, regulatory; fractionation in AT/DE/FR/SE",Funds group-wide capex; Vienna EUR 200 M and Springe expansions are HQ-driven; FY24 group revenues EUR 3.6 B,https://en.wikipedia.org/wiki/Octapharma,,7,industry=3/3 capability=0/2 size=2/2 trigger=2/2,,Tier 1
Takeda Orth a.d. Donau,AUT,Orth an der Donau,~400,plasma_fractionation,research,Global QC laboratory — 40+ biologics/plasma products tested,QC lab capacity build-out supporting Vienna/Linz throughput,https://jobs.takeda.com/austria,,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
Dottikon Exclusive Synthesis AG,CHE,Dottikon,391,oncology_hpapi,crustdata,"chemical manufacturing / DOTTIKON manufactures high-quality performance chemicals, intermediates, and exc",,http://www.dottikon.com,,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
Heraeus Precious Metals,DEU,Hanau am Main,385,oncology_hpapi,crustdata,chemical manufacturing / Heraeus Precious Metals is globally leading in the precious metals industry. The,,http://www.heraeus-precious-metals.com,"cytostatika_hpapi,oncology_general",7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,Tier 1
Dr. Falk Pharma,DEU,Freiburg,380,"originator_pharma,specialty_orphan",crustdata+research,Pharmaceutical Manufacturing / Dr. Falk Pharma GmbH has been developing and marketing innovative medicines to t,EUR 40M Freiburg solid-dose expansion 2025,http://www.drfalkpharma.de,,7,industry=2/3 capability=1/2 size=2/2 trigger=2/2,,Tier 1
Rottendorf Pharma,DEU,Ennigerloh,375,cdmo_classic,crustdata,"Pharmaceutical Manufacturing / A first-class contract development and manufacturing organization (CDMO), Rotten",7.4498567335243555% growth,https://rottendorf.com/contact,,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,Tier 1
SOTAX Group,CHE,Aesch,374,cdmo_classic,crustdata,"Pharmaceutical Manufacturing / Since 1973, SOTAX is at the forefront of pharmaceutical testing innovation suppo",2.185792349726776% growth,http://www.sotax.com,,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,direct_competitor,Excluded
