person_name,title,seniority,years_at_company,company,company_linkedin_id,person_linkedin_url,location,headline
Robert Reames,"Vice President, Global Technical Operations",Vice President,5,Aldevron (Danaher) Halle/Saale,151339,https://www.linkedin.com/in/ACoAAC1TgzwBhpNmt4VouNIpZXz2Ss_pbU4CE24,,"VP, Global Technical Operations"
Luke Kroger,Vice President of Manufacturing,Vice President,2,Aldevron (Danaher) Halle/Saale,151339,https://www.linkedin.com/in/ACoAABSs8t8BtONFI6KmPlk2bFB4Fk8ZmgzhOJY,,"Vice President, Manufacturing at Aldevron"
Philip Pummill,Director of Technical Operations - Protein,Director,3,Aldevron (Danaher) Halle/Saale,151339,https://www.linkedin.com/in/ACoAAAeUys8B9UmzzFZ5rscpuhFbjXG0PF0RvuE,,Director of Technical Operations - Protein at Aldevron
Sabrina Houle,Director Research Grade Manufacturing,Director,3,Aldevron (Danaher) Halle/Saale,151339,https://www.linkedin.com/in/ACoAACEoRg4BxIpASfQl2PiZnA8ofNcAhMmRfZo,,Director of Research Grade Manufacturing
Kate  Thomason,APPalachian Orientation Leadership Corps Director,Director,1,Appalachian State University,16838,https://www.linkedin.com/in/ACoAADk3VOsBxjVjL-c8UYXwkxEib7LAzEaTVJE,,Student at Appalachian State University
"Adeline Espinasse, Ph.D.",Manufacturing and Process Development Associate Director,Director,0,Axolabs,8087075,https://www.linkedin.com/in/ACoAAALq_ioBQRGStrK2LeDDuw2MHyj0WNPasrE,,"Therapeutic Manufacturing Associate Director at Axolabs, LGC"
Toralf Hoenicke,Head of Engineering & Maintenance,Director,1,Axolabs,8087075,https://www.linkedin.com/in/ACoAACXowrsBRRy-BpT_qJtr3DJfrhMdohqoaYg,,Production Manager at Prysmian Group
Lukas Perkams,Associate Director,Director,0,Axolabs,8087075,https://www.linkedin.com/in/ACoAACLGwO0BBfYvX_jQNbTIiHBOvgT_BEgZp08,,Head of Chemical Research and Manufacturing Sciences  bei Axolabs GmbH
Ingo Röhl,Managing Director Operations,Director,5,Axolabs,8087075,https://www.linkedin.com/in/ACoAAAJkqoUB5s-wcvi0zPLAOs_zBk6wCqOcSIw,,Managing Director Analytics at Axolabs
Kai Aurich,Head of Engineering,Director,2,Axolabs,8087075,https://www.linkedin.com/in/ACoAADuMbWYBMsnean8X63mDyD2hU5g4_GCNXcY,,staatl. geprüfter Elektrotechniker
Kathleen J. Campau,Sr Director Operations & Site Lead,Director,1,Axolabs,8087075,https://www.linkedin.com/in/ACoAAAVBk1EBcg2jo44QbBP4ou5JRuEMupluR8U,,Sr Director Operations & Site Lead at LGC Axolabs - Nucleic Acid Therapeutics CMO
Pere P.,COO,CXO,3,Axplora,86461838,https://www.linkedin.com/in/ACoAAAEkUXMB1wXkakB7Jm51G2orggWaijxnUMA,,Technical Operations leader in Pharmaceutical Industry
"Chandrababu, Ph.D l PMP®",Deputy General Manager-API & CDMO,Director,3,Axplora,86461838,https://www.linkedin.com/in/ACoAAA1BXAABPPOHVcz58FafTyTqr0KTGp1W-z0,,"Lead (DGM) • API • Technology Development • Tech Transfer • Manufacturing for NPD, Gx & CDMO • Biocatalysis • PMP® • Six"
Bernard Béraud,Site Head,Director,0,Axplora,86461838,https://www.linkedin.com/in/ACoAAAtMznIBbmfuwdu1Z_5qypt_meRYT4khj7c,,Site Head
Paolo Perracino,Site Director,Director,3,Axplora,86461838,https://www.linkedin.com/in/ACoAAAK7dZkBjmCuNfaxjCKNECIZn9eutSRqlgI,,Site Director @ Axplora | MBA Executive Master
Paolo Niro,Engineering and Maintenance Director,Director,0,Axplora,86461838,https://www.linkedin.com/in/ACoAABuU2IwBU_jhxV33qVZJBWHWQZpVOc1Pf0Q,,Engineering and Maintenance Director at Axplora
Francois Houbart,Site lead,Director,0,Axplora,86461838,https://www.linkedin.com/in/ACoAAABZ9E4BhFsieZN8hxvbLY2SEnZEIU61Rso,,Global Life Sciences Executive / Drug products / Biotech / API / P&L responsibility / Change & Transition management
Melanie Derde,Head of Bioconjugation Operations,Director,2,Axplora,86461838,https://www.linkedin.com/in/ACoAAAjMKDYB2xZS83a8IdoF5OnE8o_MATlyumk,,Head of Bioconjugation Operations
Nathalie Foltran,Head of Procurement Operations - Directrice des Achats Operations,Director,3,Axplora,86461838,https://www.linkedin.com/in/ACoAAAg2J-EBX88SHvClegbVf2nkv-Yf8kAnfz4,,Head of Procurement #Axplora
Gregor Demel,Head of Production,Director,8,Axplora,86461838,https://www.linkedin.com/in/ACoAABTxXT8BM3A7xd73tB9LTLGWI9xYqq4jYjA,,Head of Production
"Guido Wuellner, PhD",Director Production Leverkusen,Director,3,Axplora,86461838,https://www.linkedin.com/in/ACoAAAYYWMYBt8UyBzRP5dsvsAEaRuPpNQQUv54,,Managing Director
Christian Räthel,Head of Engineering and Maintenance,Director,2,Axplora,86461838,https://www.linkedin.com/in/ACoAAB6QHrIBlM4zJOd_-O_IpZOSbwkHACJcG2A,,Head of Engineering and Maintenance
Matthias Herbst,Head of Production Planning,Director,0,Axplora,86461838,https://www.linkedin.com/in/ACoAAEWDsF4Ba32DMQQlO8z_tv_Kda9k-qBB1J0,,Head of Production Planning bei Axplora
Jin Seok Hur,General Manager and Global Platform Head for ADCs,Director,1,Axplora,86461838,https://www.linkedin.com/in/ACoAAAEq59cBq1RUIv_mZeb_13kV1ag3QBzVoEs,,GM and Global Platform Head for ADCs at Axplora
krk chowdary,Deputy General Manager Project,Director,5,Axplora,86461838,https://www.linkedin.com/in/ACoAABJHQwYBq38ubjuyb3rzZTufxC0ur2mXkck,,DGM- API Projects
Francois Beaudry,CDMO Engineering Director ,Director,1,Axplora,86461838,https://www.linkedin.com/in/ACoAABAAssoBhugb8E4GIwC0PB4aUvgU3xs4ERw,,"Project Director | Engineering Director | Technical Services Director | Pharmaceutical, Food, Chemical | Operation, Proj"
Philip McGeeney,Head of Business Operations,Director,0,Axplora,86461838,https://www.linkedin.com/in/ACoAAA1g0v8BFu7GtQERUuk9unTX5EhAkbA4m2c,,Trusted Customer Partner | Life science executive | Business transformation leader | Head of Business Operations @ Axplo
Dr. Tobias Latzkow,Geschäftsführer (COO),CXO,4,BA.Unternehmensgruppe,36470682,https://www.linkedin.com/in/ACoAAB7E1A0BQpWj6LVeYLN2o96vNndYKEGWfP0,,"COO & Geschäftsführer | Pharma- & Healthcare-Industrie | Operational Excellence, Transformation & profitables Wachstum"
Fritz K.,Bereichsleiter Operations / Head of Operations,Director,0,BA.Unternehmensgruppe,36470682,https://www.linkedin.com/in/ACoAACbvWo8BN-mfUK5yQ2NNirdFLDlmWlY3T8w,,Bereichsleiter Operations
Stanley Moore,COO,CXO,0,Bachem,73003,https://www.linkedin.com/in/ACoAAAhYmgwBDHDLTTJr_TzZcYWQpFzd5d9wlko,,COO at Bachem
Eliane Villani,"Head HR Business Partnering Europe / HRD to the COO, Quality & HR",CXO,1,Bachem,73003,https://www.linkedin.com/in/ACoAAAMXou0B-f8SulKRd17lY-ZJs3n_tAY8BOQ,,"Head HR Business Partnering Europe | HRD for Operations, Quality Functions & HR at Bachem | GRP, CCP | Passion for Total"
Upinder Singh,Vice President of Manufacturing,Vice President,2,Bachem,73003,https://www.linkedin.com/in/ACoAAAA5l5EB8yVcVG_zTXOlhWYy5aVF5hL-oFU,,Operations Executive
Manfred Link,Vice President Engineering,Vice President,0,Bachem,73003,https://www.linkedin.com/in/ACoAAAPKjVAB2KHeu1QKtGs6oP9Q-zrTWCoX5wA,,Vice President Engineering
Michaela Freiberger,Head Oligonucleotide Manufacturing ¦ VP Manufacturing,Vice President,2,Bachem,73003,https://www.linkedin.com/in/ACoAAAWR_ToBeH3PPJmC3Bu_tpJch_EwYa3zP_g,,VP Oligonucleotide Manufacturing
Sebastian Hartmann,Vice President Manufacturing,Vice President,3,Bachem,73003,https://www.linkedin.com/in/ACoAADSNb7sBDq82wC_CpXz5nwXR9sJGPb85R-M,,Vice President Manufacturing at BACHEM
Peter Seiz,VP Operational Engineering,Vice President,1,Bachem,73003,https://www.linkedin.com/in/ACoAABdP_BcBWGPpC8oeWLYRHBgLgHtUE-c0_8Q,,VP Operational Engineering bei Bachem
Simon Jermann,Vice President Manufacturing Large Scale,Vice President,3,Bachem,73003,https://www.linkedin.com/in/ACoAAAWP9DkBGCykcC6GRtCl0ZqXPdlLwqhsao8,,Vice President Manufacturing Large Scale bei BACHEM
Wei Wang,Vice President of Production,Vice President,5,Bachem,73003,https://www.linkedin.com/in/ACoAAAaaHKEBVZjWOOjJCGByrPcyz0BhrwVERco,,"Vice President of Production at Bachem Americas, Inc."
"Frank Dettner, PhD",Vice President Global Technical Operations,Vice President,0,Bachem,73003,https://www.linkedin.com/in/ACoAAC-8i6UB2dhXOH389n7bdNyOEHZcIZ7vkJs,,Vice President Global Technical Operations
Mark Meyer,Vice President Site Leader,Vice President,0,Bachem,73003,https://www.linkedin.com/in/ACoAAAGVZSEB8w3WUN4DICAnPMGQX4zk_l7rx-s,,Vice President Site Leader at Bachem
Mirjam ten Dam,Senior Director Business Process Engineering,Director,1,Bachem,73003,https://www.linkedin.com/in/ACoAAAAae9MBO1qNBivCH5TaMQ5tXz1c3GtqP1U,,Senior Director Business Process Engineering
Olivier Ruffiner,Director Engineering,Director,5,Bachem,73003,https://www.linkedin.com/in/ACoAAB9GEUcBJMon6c8nVlfYgGqbZ79z09x5NX8,,Senior Project Manager Engineering
Christoph Steiner,Director Manufacturing Support & Compliance,Director,1,Bachem,73003,https://www.linkedin.com/in/ACoAABJ3WAUBpTSr6_3I5NNjnup6nhs4GKDqD_4,,Director Manufacturing Support & Compliance
Chet Sodkomkum,Director of production,Director,28,Bachem,73003,https://www.linkedin.com/in/ACoAABABsxABTg3rQabN6vfdZuPbuZnKiAuBj4c,,Director of Production at Bachem Americas Inc
Dr. Mario Jauker,Director Oligo Production I,Director,3,Bachem,73003,https://www.linkedin.com/in/ACoAABeHMtgB3_LnLV78D2rNf4fq1nrVZULXKmk,,Director Oligo Production I @ Bachem
Kathrin Ullrich,Director Engineering,Director,2,Bachem,73003,https://www.linkedin.com/in/ACoAABchCXQBK85LiWIkWUddCAOZnE97n-lYr7w,,Director Engineering bei Bachem
Adrian Pritzius,Head of Site Development Sisslerfeld,Director,2,Bachem,73003,https://www.linkedin.com/in/ACoAABQr8DMBU0ChETph_6MxHyjPec6Zy55HSNg,,Head of Site Development Sisslerfeld
Thomas Baumann,Director Peptide Manufacturing,Director,2,Bachem,73003,https://www.linkedin.com/in/ACoAAChitIwBScLsEidlfQLuYaT-9wHtfCtUDEk,,Director Peptide Manufacturing bei Bachem
Andre Casagrande,Site Head Bubendorf,Director,0,Bachem,73003,https://www.linkedin.com/in/ACoAAABKqbgB_tYYs1mS0xOvF5tj79O9NclzyJE,,Site Head Bubendorf
Paul Long,"Senior Director, Production",Director,1,Bachem,73003,https://www.linkedin.com/in/ACoAAAE8ft8BKOXC5wO8JjVknSk-bGAeHfFjLHI,,"Sr Director, Manufacturing at Bachem Vista"
Marc Schmitt,Head of Controlling Operations,Director,0,Bachem,73003,https://www.linkedin.com/in/ACoAABWWgWQBf9zzuc5YaTDngR3m6w6M8U2DMzs,,Head of Controlling Operations at Bachem AG
Heiko Ehrich,Senior Director - Head of Site Development Engineering Sisslerfeld,Director,1,Bachem,73003,https://www.linkedin.com/in/ACoAAAPONz8BMSES8el0EMr5hwLgvDBit0oGKHE,,Head of Site Development Engineering Sisslerfeld
"Margaret Leung, PMP","Director - Head of Engineering, Southern California",Director,8,Bachem,73003,https://www.linkedin.com/in/ACoAAAmg-akBhQC5eg6FFhQslJzNJGno5p3H5bA,,"Head of Engineering, CQV, & Facilities at Lonza"
Mustaqim Syed,Senior Director Production,Director,0,Bachem,73003,https://www.linkedin.com/in/ACoAAAZvFH4BKew6OeXmFSF7SEZVaSXb7PqtboY,,Senior Director Production at Bachem
Thomas Giger,Director API Production,Director,6,Bachem,73003,https://www.linkedin.com/in/ACoAAAosVnUBdtKlKf2RNCjEI7DR4XOTHGQI3KQ,,Director API Production bei Bachem
Roger Wiesner,Director Facility Management,Director,2,Bachem,73003,https://www.linkedin.com/in/ACoAAB9URq4BeMDnJjlpWujpdw-fqLNKGc2mtw4,,Director Facility Management
Stefan Eissler,Head of Technical Operations BBU,Director,0,Bachem,73003,https://www.linkedin.com/in/ACoAAC8jGzkBJ1NdabAZ_A37MEQojYD6FgPHPcs,,Head of Technical Operations at BACHEM AG in Bubendorf: Transfer of Manufacturing Processes for Peptide‑Based APIs to La
Daniel Brodbeck,Head of Peptide Manufacturing Cluster II,Director,0,Bachem,73003,https://www.linkedin.com/in/ACoAADkr5dcBz8e8UYM4b5h18SnxxNggFVOD1Rs,,"Head of Peptide Manufacturing (Cluster Lead) | Cluster-Level Financial & Operational Ownership | GMP, Lean & Scalable Op"
Oliver R.,Director of Quality Engineering,Director,8,Bachem,73003,https://www.linkedin.com/in/ACoAAAGfZj4BKEneDdFTUvaJXrxzoeLiy80WEoY,,Director of Quality Engineering at Bachem
"Patel, Sanjay",Site Quality Head / Director Of Quality Assurance,Director,6,Bachem,73003,https://www.linkedin.com/in/ACoAAADkaaUBWZh94vNS8woWcGWaT2n0kxHvSbk,,Site Quality Head / Director Of Quality Assurance at Bachem
Benedikt Millies,Director Peptide Manufacturing,Director,0,Bachem,73003,https://www.linkedin.com/in/ACoAACd5hJgBHeq4srq6VPZ92x30zwAIAZmW504,,Director Peptide Manufacturing
Michael Meier,Director Engineering Operational Technology,Director,5,Bachem,73003,https://www.linkedin.com/in/ACoAABwCjG8BAW9jmNj96QyK_sm3y4eutTnmcmY,,Director Engineering Operational Technology bei Bachem
Daniel Pfeffer,Director Oligo Production,Director,2,Bachem,73003,https://www.linkedin.com/in/ACoAACukGUkB56sxJBQT3OrtO7EkrDhqsn7IDO0,,Director Oligo Production bei Bachem
Uta Corinna Stange,Head of Site Management Office - BSF,Director,1,Bachem,73003,https://www.linkedin.com/in/ACoAABqK7KQBmOk6ZJxEDJdZuBYxPgVR2Tw3aag,,Head of Site Management Office bei Bachem Sisslerfeld
Karin Wertz,Senior Director Manufacturing Coordination,Director,2,Bachem,73003,https://www.linkedin.com/in/ACoAAATyHugBf422XwDFOUfz1W1BRw8VUyp5MdM,,Drive for business success & positive impact on people | love innovation on life science & digital
John Nguyen,Quality Control Site Head / Director Of Quality Control,Director,4,Bachem,73003,https://www.linkedin.com/in/ACoAAB6GZY4BI8d9Eko0FgzbsqNGw2yDrOUnL6Q,,Quality Control Site Head / Director Of Quality Control
"Jae Hyun Park, Ph.D., MBA",Director of Production,Director,1,Bachem,73003,https://www.linkedin.com/in/ACoAAAYiLkEBcuSMuVhJtWeXMagG7BjJSIkb86E,,Leadership in Drug Discovery and Development
Sven Schwerdtfeger,Head PMO Strategic CAPEX Engineering,Director,1,Bachem,73003,https://www.linkedin.com/in/ACoAABeLesQBXdU7QMQKp-mWzLBnQp31Y0Nmh_Q,,Project Leader and Engineering Manager
Gavin Noble,Director of Production,Director,2,Bachem,73003,https://www.linkedin.com/in/ACoAABL618kBrRSaRvcjEW-2EsWCflaoa4ntswo,,Director of Production at Bachem UK
Patrick Scheidegger,Site QA Head,Director,1,Bachem,73003,https://www.linkedin.com/in/ACoAAA5t_FwBIVIjQj45VtpWXzc2znDah7-aEJY,,"Site QA Head, VP"
Volker Prior,Director API Production,Director,5,Bachem,73003,https://www.linkedin.com/in/ACoAAAD2eW0BR2FBQXvi20oIhd3hzDqz_CdL6Cg,,Director API Production bei BACHEM AG
Joachim Eigemeier,Global Head of Engineering,Director,0,Bachem,73003,https://www.linkedin.com/in/ACoAABHF2GIBjXsKdFcNeFkFCDBFsCOOO8Vp8oY,,Senior Corporate EHS Leader | Lean Sigma Black Belt | CAPEX Manager | Engineering Project Director
Nicole Schmid,Director QA Engineering,Director,1,Bachem,73003,https://www.linkedin.com/in/ACoAAE-TpgQBJXoAGlZuGXp_i5sdgk6UvFO5WwU,,"Director QA 
Spezialist Systemqualifizierung/-validierung"
Kamyar Karimli,Director of Quality Engineering,Director,4,Bachem,73003,https://www.linkedin.com/in/ACoAACXzwwoBwyfQDlEDnaElLYhxve_PL_ccafM,,"Director, Quality Engineering and Validation at Bachem America’s, Inc."
Roman Erath,Head of Manufacturing - BSF (Bachem Sisslerfeld),Director,1,Bachem,73003,https://www.linkedin.com/in/ACoAAB-YencBAIQgjjWQcsWIx3GhJbgPi9G60w8,,...
Jelena Nesic,Quality Site Head,Director,1,Bachem,73003,https://www.linkedin.com/in/ACoAAAftprwBfw0tYIA8VLdxT_6XXlH_8ODly8A,,Quality Site Head Bachem SA
"Thomas Heel, Ph.D.",Technical Operations Director,Director,1,Bachem,73003,https://www.linkedin.com/in/ACoAABQRL2QBGMHtfNLP8ESBqLKCSnc2fhe7TJc,,Seasoned Leader | Biotechnology | Technical Operations | Process Development | Start-up
Rene Boros,Director Engineering,Director,2,Bachem AG,65209264,https://www.linkedin.com/in/ACoAAAnD__0Bz7tW5Pxu64_VXfK7HDCEB29yIOE,,Director Engineering at Bachem AG
Michael Sirotovitch,COO Intl,CXO,25,Berlin-Chemie Bernburg site,46085,https://www.linkedin.com/in/ACoAAADWmtcBsVPg1RZk1HekbkDw2Ex1M6AAmUQ,,"COO, Head of Intl Division at Berlin-Chemie AG"
Eszter Dobos,Head of Business Intelligence and Strategic Operations,Director,4,Berlin-Chemie Bernburg site,46085,https://www.linkedin.com/in/ACoAABLW6w8BYGFHczvKcTHVJlZxeOdfnaXJZIM,,Head of Business Intelligence and Strategic Operations at BERLIN-CHEMIE Menarini
Simon Müller,Head of Business Operations,Director,0,Berlin-Chemie Bernburg site,46085,https://www.linkedin.com/in/ACoAAERDQj4BT5dsSk_6ZuIqNfE4wwY7SskMBj8,,Head of Business Operations bei BERLIN-CHEMIE Menarini
Magdalene Schade,Head of Production Planning,Director,5,Berlin-Chemie Bernburg site,46085,https://www.linkedin.com/in/ACoAAEyj3VwBMNxOSZDs7ZuCsP9akUEMVmC37H8,,--
Ines Höfig,Head of Vector Manufacturing,Director,6,BioNTech IMFS,5371448,https://www.linkedin.com/in/ACoAAB91ercBXNaJPDUsxGLvtLwNssXjgWwVe54,,Head of Vector and CGT Mfg @BioNTech IMFS
Jonathan Trauth,Head of QA Operations,Director,1,BioNTech IMFS,5371448,https://www.linkedin.com/in/ACoAADQdXrsBmf05kKMR8lixo_-TzSKUZOyO3Sw,,Head of QA Operations bei BioNTech IMFS
Iris Bigalke,"Head of Cell Therapy, Manufacturing",Director,6,BioNTech IMFS,5371448,https://www.linkedin.com/in/ACoAAAW8hfIBSl2mvFQrNiTBecGbpJ5v60dr1gM,,Head of Cell Therapy Manufacturing bei BioNTech IMFS
Sebastian Mohr,Head of Site Service & Engineering,Director,2,BioNTech IMFS,5371448,https://www.linkedin.com/in/ACoAABrT7h8BwsMdomUMo39oJEXkSrhcIwOQYtU,,Head of Site Service & Engineering
Amy Bergeron,Head of Technical Operations,Director,3,BioSpring GmbH,14793435,https://www.linkedin.com/in/ACoAAAG2WP0BotLYMdG2VREmrcLJCgAImJLeV5o,,Head of Technical Operations
Raoul Hennig,Head of Manufacturing Site / Bereichsleiter,Director,3,BioSpring GmbH,14793435,https://www.linkedin.com/in/ACoAABhFsD4B_Yw7BsEuNZc0xUAvHyx6nCGowPA,,Project lead therapeutic cGMP manufacturing
Sven Warhaut,Vice Head of Manufacturing,Director,3,BioSpring GmbH,14793435,https://www.linkedin.com/in/ACoAACBSjkABFOhJwUZEtIVxmqH2C9IFg32xUGE,,BioSpring GmbH
Patrick Seyfried,Senior Project Lead GMP and Large Scale Production of Oligonucleotides,Senior,8,BioSpring GmbH,14793435,https://www.linkedin.com/in/ACoAACRrgDABdANwWU3yToW_S1gmbUBtVCJezZ8,,Senior Project Lead GMP and Large Scale Production of Oligonucleotides
Dr. Thomas Eisele,Chief Operations Officer,CXO,2,Biosynth,9444277,https://www.linkedin.com/in/ACoAAABL7rcB2mB8oKSoH_4IIeNnfryMaz9RgU0,,Chief Operations Officer Biosynth Group
Rosendo Estrada,Vice President Operations,Vice President,5,Biosynth,9444277,https://www.linkedin.com/in/ACoAAAOUrzgBf2v26NanzdpNwgmxHOVWP-suJks,,Vice President Operations at Biosynth
Jannis Kuepper,General Manager,Director,6,Biosynth,9444277,https://www.linkedin.com/in/ACoAAAm9iiMBiIxDszHLh3_L9L_W-vQYFktIHuQ,,General Manager and Head of Sustainability at Biosynth
Dr. Paul Philip Lange,General Manager & Head of Supply Chain Managment,Director,2,Biosynth,9444277,https://www.linkedin.com/in/ACoAAASwj48BubYfGL8YJ6dogR6WtHg1f1GKP3E,,"General Manager, Chemicals Division"
"Maria Ufret, PhD, PMP","Director, Downstream Operations",Director,5,Biosynth,9444277,https://www.linkedin.com/in/ACoAAAEdKasBUppvT1wmUh_FWWm8XfH3ELuAk0I,,"Director, Downstream Operations at vivitide"
Christian Wiegand,Deputy Head of Production,Director,5,Biosynth,9444277,https://www.linkedin.com/in/ACoAAAy3GqUBjYZ6wZ8AF7Wm4Ivfz-AQ4WNQnwY,,Deputy Production Manager bei Biosynth
Dr. Huiji Zhu,Head Of Production,Director,9,Biosynth,9444277,https://www.linkedin.com/in/ACoAABaiuYQBIy6c3ODDSFNSTUHfIwJUx0AYLu8,,Head Of Production
Frank Leenders,General Manager,Director,2,Biosynth,9444277,https://www.linkedin.com/in/ACoAABGuEkcBnt46UAohpdz2EuJJe6Z7ypGBB5I,,"General Manager Biosynth, Berlin"
Daniela Reinisch,Head of Manufacturing Science & Technology,Director,5,Boehringer Ingelheim,3235,https://www.linkedin.com/in/ACoAABhJsWMBLXpS2x5JBjaqaW10lklcmf7zrmk,,Head of Manufacturing Science & Technology Cell Culture at Boehringer Ingelheim
Heiko Meents,Head Of Downstream Manufacturing,Director,9,Boehringer Ingelheim,3235,https://www.linkedin.com/in/ACoAAACOW0QBssrp4WxTFkfTJjjmlgbjne5OOGU,,Head Of Downstream Manufacturing
Hannes Schmidinger,Head Unit Process Engineering Cell Culture,Director,8,Boehringer Ingelheim,3235,https://www.linkedin.com/in/ACoAAAJdSKsBiQAFHF3ujZx1RGecQVQMHhp4Td8,,Head Unit Process Engineering Cell Culture
Silvia Kainer,Head of Engineering and Technology,Director,3,Boehringer Ingelheim,3235,https://www.linkedin.com/in/ACoAAAVmaU8BCCRexNcy_d6-64wMyOr_AvyIrfA,,Head of Engineering and Technology Biopharma Austria
Tudor Moiceanu,Deputy Head of Unit Production,Director,2,Boehringer Ingelheim,3235,https://www.linkedin.com/in/ACoAACDTCSUB-jixBHfYa5ybR9dA4QVbmPGSzpw,,Deputy Head of Unit Production at Boehringer Ingelheim 
Hannes Hofer,Director Manufacturing Science and Technology,Director,14,Boehringer Ingelheim,3235,https://www.linkedin.com/in/ACoAAAAR_egBoI-GTFoHUSLE19dzyJPfcGtM7Rw,,Director Manufacturing Science and Technology at Boehringer Ingelheim
Michael Haunschmid,Deputy Head of Unit Production,Director,4,Boehringer Ingelheim,3235,https://www.linkedin.com/in/ACoAAC7YFnYBFmrcFGytH-tkMLANjVPrSIA1Uco,,Deputy Head of Unit Production bei Boehringer Ingelheim
Bernhard Hilmar,"Head Of Unit, Site Quality QC Lab Systems",Director,7,Boehringer Ingelheim,3235,https://www.linkedin.com/in/ACoAAB2YHj8BS7jzltzSEvAHthCublcuCNzQR0U,,Head Of Unit bei Boehringer Ingelheim
Raoul Friedberg,Head of Unit Production,Director,1,Boehringer Ingelheim,3235,https://www.linkedin.com/in/ACoAACwyl4AB2D9ip0k1IEvn_It86rg4chYEqWY,,Head of Unit Production at Boehringer Ingelheim
